key,year,venue,pub_type,title,authors
conf/wsdm/JuHHH19,2019,WSDM,inproceedings,"A Sequential Test for Selecting the Better Variant: Online A/B testing, Adaptive Allocation, and Continuous Monitoring.",Nianqiao Ju|Diane Hu|Adam Henderson|Liangjie Hong
conf/wsdm/GaoRZZYY19,2019,WSDM,inproceedings,Product-Aware Answer Generation in E-Commerce Question-Answering.,Shen Gao|Zhaochun Ren|Yihong Eric Zhao|Dongyan Zhao 0001|Dawei Yin 0001|Rui Yan 0001
conf/wsdm/LinGW19,2019,WSDM,inproceedings,Learning Personalized Topical Compositions with Item Response Theory.,Lu Lin 0001|Lin Gong|Hongning Wang
conf/wsdm/Guo0W24,2024,WSDM,inproceedings,GEMRec: Towards Generative Model Recommendation.,Yuanhe Guo|Haoming Liu 0003|Hongyi Wen
conf/wsdm/YooLSK22,2022,WSDM,inproceedings,Directed Network Embedding with Virtual Negative Edges.,Hyunsik Yoo|Yeon-Chang Lee|Kijung Shin|Sang-Wook Kim
conf/wsdm/BhowmickMDGM20,2020,WSDM,inproceedings,LouvainNE: Hierarchical Louvain Method for High Quality and Scalable Network Embedding.,Ayan Kumar Bhowmick|Koushik Meneni|Maximilien Danisch|Jean-Loup Guillaume|Bivas Mitra
conf/wsdm/BahriTZBMT21,2021,WSDM,inproceedings,Generative Models are Unsupervised Predictors of Page Quality: A Colossal-Scale Study.,Dara Bahri|Yi Tay|Che Zheng|Cliff Brunk|Donald Metzler|Andrew Tomkins
conf/wsdm/0006RA21,2021,WSDM,inproceedings,"Explain and Predict, and then Predict Again.",Zijian Zhang 0006|Koustav Rudra|Avishek Anand
conf/wsdm/WangWH24,2024,WSDM,inproceedings,FairIF: Boosting Fairness in Deep Learning via Influence Functions with Validation Set Sensitive Attributes.,Haonan Wang|Ziwei Wu|Jingrui He
conf/wsdm/CaoLGLL021,2021,WSDM,inproceedings,Bipartite Graph Embedding via Mutual Information Maximization.,Jiangxia Cao|Xixun Lin|Shu Guo|Luchen Liu|Tingwen Liu|Bin Wang 0004
conf/wsdm/SunLCWBZ24,2024,WSDM,inproceedings,Rethinking and Simplifying Bootstrapped Graph Latents.,Wangbin Sun|Jintang Li|Liang Chen 0001|Bingzhe Wu|Yatao Bian|Zibin Zheng
conf/wsdm/TianWPWX21,2021,WSDM,inproceedings,I2PS: An Online Item Intelligent Publishing System in Consumer to Consumer (C2C) Transaction Platform.,Lei Tian|Nanyang Wang|Pan Pan|Bin Wang|Yinghui Xu
conf/wsdm/HuangOR22,2022,WSDM,inproceedings,It Is Different When Items Are Older: Debiasing Recommendations When Selection Bias and User Preferences Are Dynamic.,Jin Huang 0010|Harrie Oosterhuis|Maarten de Rijke
conf/wsdm/DingLCL22,2022,WSDM,inproceedings,Graph Minimally-supervised Learning.,Kaize Ding|Jundong Li|Nitesh V. Chawla|Huan Liu 0001
conf/wsdm/Alonso024,2024,WSDM,inproceedings,"Some Useful Things to Know When Combining IR and NLP: The Easy, the Hard and the Ugly.",Omar Alonso|Kenneth Church 0001
conf/wsdm/WangF0NC21,2021,WSDM,inproceedings,Denoising Implicit Feedback for Recommendation.,Wenjie Wang 0007|Fuli Feng|Xiangnan He 0001|Liqiang Nie|Tat-Seng Chua
conf/wsdm/XuDZ22,2022,WSDM,inproceedings,Identifying Cost-effective Debunkers for Multi-stage Fake News Mitigation Campaigns.,Xiaofei Xu|Ke Deng|Xiuzhen Zhang 0001
conf/wsdm/GrbovicN18,2018,WSDM,inproceedings,"Workshop on Two-sided Marketplace Optimization: Search, Pricing, Matching & Growth.",Mihajlo Grbovic|Thanasis Noulas
conf/wsdm/SakotaP024,2024,WSDM,inproceedings,Fly-Swat or Cannon? Cost-Effective Language Model Choice via Meta-Modeling.,Marija Sakota|Maxime Peyrard|Robert West 0001
conf/wsdm/Abbasiantaeb0KA24,2024,WSDM,inproceedings,Let the LLMs Talk: Simulating Human-to-Human Conversational QA via Zero-Shot LLM-to-LLM Interactions.,Zahra Abbasiantaeb|Yifei Yuan 0002|Evangelos Kanoulas|Mohammad Aliannejadi
conf/wsdm/WenYTPS18,2018,WSDM,inproceedings,Customer Purchase Behavior Prediction from Payment Datasets.,Yu Ting Wen|Pei-Wen Yeh|Tzu-Hao Tsai|Wen-Chih Peng|Hong-Han Shuai
