key,year,venue,pub_type,title,authors
conf/sdm/RandelAH23,2023,SDM,inproceedings,A Lagrangian-based approach to learn distance metrics for clustering with minimal data transformation.,Rodrigo Randel|Daniel Aloise|Alain Hertz
conf/sdm/ZhangSZ022,2022,SDM,inproceedings,Explainable Concept Graph Completion by Bridging Open-Domain Relations and Concepts.,Yue Zhang 0086|Mingming Sun 0001|Jingyuan Zhang|Ping Li 0001
conf/sdm/MengJFLLC22,2022,SDM,inproceedings,Early Forecasting of the Impact of Traffic Accidents Using a Single Shot Observation.,Guangyu Meng|Qisheng Jiang 0001|Kaiqun Fu|Beiyu Lin|Chang-Tien Lu|Zhqian Chen
conf/sdm/LiuWLBO024,2024,SDM,inproceedings,Time-Transformer: Integrating Local and Global Features for Better Time Series Generation.,Yuansan Liu|Sudanthi N. R. Wijewickrema|Ang Li|Christofer Bester|Stephen J. O'Leary|James Bailey 0001
conf/sdm/ZhangB19,2019,SDM,inproceedings,DSL: Discriminative Subgraph Learning via Sparse Self-Representation.,Lin Zhang|Petko Bogdanov
conf/sdm/KuoCC18,2018,SDM,inproceedings,Personalized Ranking on Poisson Factorization.,Li-Yen Kuo|Chung-Kuang Chou|Ming-Syan Chen
conf/sdm/LiLCOW18,2018,SDM,inproceedings,Black-box Expectation Propagation for Bayesian Models.,Ximing Li 0002|Changchun Li|Jinjin Chi|Jihong Ouyang|Wenting Wang
conf/sdm/LiEZ23,2023,SDM,inproceedings,Optimal Intervention on Weighted Networks via Edge Centrality.,Dongyue Li|Tina Eliassi-Rad|Hongyang R. Zhang
conf/sdm/KuboD24,2024,SDM,inproceedings,XGExplainer: Robust Evaluation-based Explanation for Graph Neural Networks.,Ryoji Kubo|Djellel Eddine Difallah
conf/sdm/HassenC20,2020,SDM,inproceedings,Learning a Neural-network-based Representation for Open Set Recognition.,Mehadi Hassen|Philip K. Chan
conf/sdm/ZhaLZH22,2022,SDM,inproceedings,Towards Similarity-Aware Time-Series Classification.,Daochen Zha|Kwei-Herng Lai|Kaixiong Zhou|Xia Hu 0001
conf/sdm/YangY0Y023,2023,SDM,inproceedings,Causal Discovery by Graph Attention Reinforcement Learning.,Dezhi Yang|Guoxian Yu|Jun Wang 0035|Zhongmin Yan|Maozu Guo 0001
conf/sdm/ZhangZWBSY20,2020,SDM,inproceedings,Fisher Deep Domain Adaptation.,Yinghua Zhang|Yu Zhang 0006|Ying Wei 0001|Kun Bai|Yangqiu Song|Qiang Yang 0001
conf/sdm/Grosse021,2021,SDM,inproceedings,Do winning tickets exist before DNN training?,Kathrin Grosse|Michael Backes 0001
conf/sdm/DuXWT21,2021,SDM,inproceedings,Fairness-aware Agnostic Federated Learning.,Wei Du 0009|Depeng Xu 0001|Xintao Wu|Hanghang Tong
conf/sdm/RenL024,2024,SDM,inproceedings,Word Embedding with Neural Probabilistic Prior.,Shaogang Ren|Dingcheng Li|Ping Li 0001
conf/sdm/LiL19,2019,SDM,inproceedings,Linear Time Motif Discovery in Time Series.,Xiaosheng Li|Jessica Lin 0001
conf/sdm/XuRM20,2020,SDM,inproceedings,Second-order Optimization for Non-convex Machine Learning: an Empirical Study.,Peng Xu|Fred Roosta|Michael W. Mahoney
conf/sdm/ManiDG21,2021,SDM,inproceedings,Unsupervised Selective Manifold Regularized Matrix Factorization.,Priya Mani|Carlotta Domeniconi|Igor Griva
conf/sdm/LiuLCWSH21,2021,SDM,inproceedings,Discrete Listwise Collaborative Filtering for Fast Recommendation.,Chenghao Liu|Tao Lu|Zhiyong Cheng 0001|Xin Wang 0019|Jianling Sun|Steven C. H. Hoi
conf/sdm/YangZZ24,2024,SDM,inproceedings,Variational Invariant Representation Learning for Multimodal Recommendation.,Wei Yang|Haoran Zhang|Li Zhang
conf/sdm/BaiTW0AV23,2023,SDM,inproceedings,Sign-Regularized Multi-Task Learning.,Guangji Bai|Johnny Torres|Junxiang Wang|Liang Zhao 0002|Cristina L. Abad|Carmen Vaca
conf/sdm/YamaguchiU21,2021,SDM,inproceedings,Learning Time-series Shapelets via Supervised Feature Selection.,Akihiro Yamaguchi|Ken Ueno
conf/sdm/0001LPT22,2022,SDM,inproceedings,Fine-grained Attributed Graph Clustering.,Zhao Kang 0001|Zhanyu Liu|Shirui Pan|Ling Tian
conf/sdm/00010B0X24,2024,SDM,inproceedings,CaMU: Disentangling Causal Effects in Deep Model Unlearning.,Shaofei Shen 0001|Chenhao Zhang 0004|Alina Bialkowski|Weitong Chen 0001|Miao Xu 0001
conf/sdm/StolmanL0S22,2022,SDM,inproceedings,Classic Graph Structural Features Outperform Factorization-Based Graph Embedding Methods on Community Labeling.,Andrew Stolman|Caleb C. Levy|C. Seshadhri 0001|Aneesh Sharma
conf/sdm/Shen0KJ18,2018,SDM,inproceedings,Accelerating Time Series Searching with Large Uniform Scaling.,Yilin Shen|Yanping Chen 0005|Eamonn J. Keogh|Hongxia Jin
conf/sdm/ThejaswiG20,2020,SDM,inproceedings,Pattern detection in large temporal graphs using algebraic fingerprints.,Suhas Thejaswi|Aristides Gionis
conf/sdm/NayakMJK18,2018,SDM,inproceedings,Classifying Multivariate Time Series by Learning Sequence-level Discriminative Patterns.,Guruprasad Nayak|Varun Mithal|Xiaowei Jia|Vipin Kumar 0001
conf/sdm/KalanatXLJ24,2024,SDM,inproceedings,Spatial-Temporal Augmented Adaptation via Cycle-Consistent Adversarial Network: An Application in Streamflow Prediction.,Nasrin Kalanat|Yiqun Xie|Yanhua Li|Xiaowei Jia
conf/sdm/FarhadlooSGLMS24,2024,SDM,inproceedings,Towards Spatially-Lucid AI Classification in Non-Euclidean Space: An Application for MxIF Oncology Data.,Majid Farhadloo|Arun Sharma 0006|Jayant Gupta|Alexey A. Leontovich|Svetomir N. Markovic|Shashi Shekhar 0001
conf/sdm/LiZ0CZ21,2021,SDM,inproceedings,Sign-aware Perturbations Regression.,Zhongnian Li|Tao Zhang 0099|Wei Shao 0005|Songcan Chen|Daoqiang Zhang
conf/sdm/WangZLWXM23,2023,SDM,inproceedings,Knowledge-Enhanced Semi-Supervised Federated Learning for Aggregating Heterogeneous Lightweight Clients in IoT.,Jiaqi Wang 0002|Shenglai Zeng|Zewei Long|Yaqing Wang 0001|Houping Xiao|Fenglong Ma
conf/sdm/CaiGJ19,2019,SDM,inproceedings,Multi-Stage Variational Auto-Encoders for Coarse-to-Fine Image Generation.,Lei Cai|Hongyang Gao|Shuiwang Ji
conf/sdm/AzimW00F24,2024,SDM,inproceedings,Feature Interaction Aware Automated Data Representation Transformation.,Ehtesamul Azim|Dongjie Wang|Kunpeng Liu 0001|Wei Zhang 0076|Yanjie Fu
