key,year,venue,pub_type,title,authors
conf/isdmci/MatsukiGKB22,2022,ISDMCI,inproceedings,Method to Find the Original Source of COVID-19 by Genome Sequence and Probability of Electron Capture.,Yoshio Matsuki|Aleksandr Gozhyj|Irina Kalinina|Peter Bidyuk
conf/isdmci/SokolovaZMO22,2022,ISDMCI,inproceedings,Real-Time Information Technology Human Detection Using Cloud Services.,Natalya Sokolova|Yuliia Zhuravlova|Oleksandr Mushtat|Yevhen Obydennyi
conf/isdmci/AzarovKR20,2020,ISDMCI,inproceedings,Sound Field Reconstruction from Incomplete Data by Solving Fuzzy Relational Equations.,Olexiy Azarov|Leonid Krupelnitskyi|Hanna Rakytyanska
conf/isdmci/GorokhovatskyiP19,2019,ISDMCI,inproceedings,Investigation of Random Neighborhood Features for Interpretation of MLP Classification Results.,Oleksii Gorokhovatskyi|Olena Peredrii|Volodymyr Zatkhei|Oleh Teslenko
conf/isdmci/SikoraLMM22,2022,ISDMCI,inproceedings,Cognitive and Information Decision Support Technologies for Operational Management of Energy-Active Objects in Boundary Modes.,Lubomyr Sikora|Natalya Lysa|Roman Martsyshyn|Yuliya Miyushkovych
conf/isdmci/VynokurovaPZPK20,2020,ISDMCI,inproceedings,Solving Fraud Detection Tasks Based on Wavelet-Neuro Autoencoder.,Olena Vynokurova|Dmytro Peleshko|Polina Zhernova|Iryna Perova|Andrii Kovalenko
conf/isdmci/BilonohBKM21,2021,ISDMCI,inproceedings,Tunable Activation Functions for Deep Neural Networks.,Bohdan Bilonoh|Yevgeniy V. Bodyanskiy|Bohdan Kolchygin|Sergii Mashtalir
conf/isdmci/BurovVLC22,2022,ISDMCI,inproceedings,Software Based on Ontological Tasks Models.,Yevhen Burov|Victoria Vysotska|Vasyl Lytvyn|Lyubomyr Chyrun
conf/isdmci/NadragaSBD20,2020,ISDMCI,inproceedings,Comparison of Missing Values Handling Techniques Using MICE Package Tools of R Software and Logistic Regression Model.,Vasiliy Nadraga|Volodymyr Smirnov|Oleksandra Boiko|Vladyslav Dereko
conf/isdmci/ArsiriiPBN21,2021,ISDMCI,inproceedings,Method of Transfer Deap Learning Convolutional Neural Networks for Automated Recognition Facial Expression Systems.,Olena Arsirii|Denys Petrosiuk|Oksana Babilunha|Anatolii Nikolenko
conf/isdmci/YarmolenkoBA20,2020,ISDMCI,inproceedings,SEE-Management by the Force of the Process Functioning System Based on the Output-Input Ratio: The Energy Aspect.,Viktor Yarmolenko|Nataliia Burennikova|Roman Akselrod
conf/isdmci/RiznykTMMK21,2021,ISDMCI,inproceedings,Synthesis of Barker-Like Codes with Adaptation to Interference.,Oleg Riznyk|Ivan Tsmots|Roman Martsyshyn|Yuliya Miyushkovych|Yurii Kynash
conf/isdmci/UzunLGK21,2021,ISDMCI,inproceedings,Agile Architectural Model for Development of Time-Series Forecasting as a Service Applications.,Illia Uzun|Ivan Lobachev|Luke Gall|Vyacheslav Kharchenko
