venue,weight_semantics,group,sample_size,mean_anisotropy,mean_volume_growth_r1,mean_core_region_cohesion,mean_core_region_conductance,mean_multiscale_consistency
SDM,contained-support,brokerage_edges,10,0.48071428558490303,3.399028748741015,0.35114283950898806,2.9093628591178717,0.7720531743787398
SDM,contained-support,balanced_triangles,10,0.0,3.74999999953125,0.29587301586162157,3.4874999995640623,0.9994497880315724
