window,event_type,case_label,aggregation_id,unit_type,members,target,before_closure,before_persistence,before_activity,before_boundary_role,before_growth_potential,after_closure,after_persistence,after_activity,after_boundary_role,after_growth_potential
2018-2020,birth,positive,triangle:Abdul-Saboor Sheikh-Evgenii Koriagin-Julia Lasserre,triangle_seed,Abdul-Saboor Sheikh-Evgenii Koriagin-Julia Lasserre,1.0,1.0,0.5,0.7834862641838627,0.75,9.0,1.0,1.0,1.3500774830560436,0.75,9.0
2018-2020,birth,positive,triangle:Abdul-Saboor Sheikh-Evgenii Koriagin-Reza Shirvany,triangle_seed,Abdul-Saboor Sheikh-Evgenii Koriagin-Reza Shirvany,1.0,1.0,0.5,0.7834874530950353,0.75,9.0,1.0,1.0,1.3500798104807297,0.75,9.0
2018-2020,birth,positive,triangle:Abdul-Saboor Sheikh-Evgenii Koriagin-Roland Vollgraf,triangle_seed,Abdul-Saboor Sheikh-Evgenii Koriagin-Roland Vollgraf,1.0,1.0,0.5,0.7834886420062079,0.75,9.0,1.0,1.0,1.3500821379054155,0.75,9.0
2018-2020,birth,positive,triangle:Abdul-Saboor Sheikh-Evgenii Koriagin-Urs Bergmann,triangle_seed,Abdul-Saboor Sheikh-Evgenii Koriagin-Urs Bergmann,1.0,1.0,0.5,0.7834898309173806,0.75,9.0,1.0,1.0,1.3500844653301014,0.75,9.0
2018-2020,birth,failed,edge:Abd-Krim Seghouane-Shashanka Ubaru,edge_seed,Abd-Krim Seghouane-Shashanka Ubaru,0.0,0.0,0.5,0.2636125329342168,0.6666666666666666,1.0,0.0,0.5,0.24401037108773266,0.8571428571428571,1.0
