venue,event_type,event_count,mean_closure,mean_persistence,mean_activity,best_predictor,best_predictor_rho
SDM,birth,467,1.0,0.71875,1.5431395922615563,aggregation_birth_score,0.20004491214164616
WSDM,birth,952,0.9350818452380952,0.65625,3.9457319871272,aggregation_birth_score,0.23678513889941255
