venue,scope,dimension,simplex_count,mean_weight,mean_reinforcement,mean_boundary_strain,mean_tension,mean_curvature_balance,negative_curvature_fraction,zero_curvature_fraction,weight_semantics
SDM,latest,1,1548,1.0381136950904393,0.8753788803001076,0.9665943525088008,-0.31493856057809544,-0.15260503612187032,0.28036175710594313,0.6905684754521964,contained-support
SDM,latest,2,1500,1.012,0.9618761895467023,0.0,-1.0677777777777777,-0.04542771656654212,0.13733333333333334,0.8626666666666667,contained-support
WSDM,latest,1,2589,1.0386249517188104,0.8434581418988231,0.9722426066526138,-0.3888695764130295,-0.20182236889228003,0.3480108149864813,0.6261104673619158,contained-support
WSDM,latest,2,2622,1.0106788710907704,0.9667075287556439,0.0,-1.0588609204169845,-0.03958139321353274,0.11937452326468345,0.8806254767353165,contained-support
