window,paper_count,author_count,vertex_count,edge_count,triangle_count,edge_density,triangle_density
2018-2020,230,711,711,1252,1118,0.00496028208632951,1.8742126693256012e-05
2019-2021,228,714,714,1239,1105,0.004867585182740698,1.829135139880999e-05
2020-2022,224,715,715,1263,1149,0.004947993183287301,1.8939891887668472e-05
2021-2023,238,782,782,1394,1285,0.004564939041362802,1.618460067363205e-05
2022-2024,239,836,836,1548,1500,0.004435148841073833,1.5459082179862506e-05
